${LS_COLORS:1:3} : s=0
${LS_COLORS:2:3} : =0
${LS_COLORS:3:3} : 0
${LS_COLORS:5:3} : di=
${LS_COLORS:6:3} : i=0
${LS_COLORS:7:3} : =01
${LS_COLORS:8:3} : 01;
${LS_COLORS:9:3} : 1;3
${LS_COLORS:10:3} : ;34
${LS_COLORS:11:3} : 34
${LS_COLORS:12:3} : 4
${LS_COLORS:14:3} : ln=
${LS_COLORS:15:3} : n=0
${LS_COLORS:16:3} : =01
${LS_COLORS:17:3} : 01;
${LS_COLORS:18:3} : 1;3
${LS_COLORS:19:3} : ;36
${LS_COLORS:20:3} : 36
${LS_COLORS:21:3} : 6
${LS_COLORS:23:3} : mh=
${LS_COLORS:24:3} : h=0
${LS_COLORS:25:3} : =00
${LS_COLORS:26:3} : 00
${LS_COLORS:27:3} : 0
${LS_COLORS:29:3} : pi=
${LS_COLORS:30:3} : i=4
${LS_COLORS:31:3} : =40
${LS_COLORS:32:3} : 40;
${LS_COLORS:33:3} : 0;3
${LS_COLORS:34:3} : ;33
${LS_COLORS:35:3} : 33
${LS_COLORS:36:3} : 3
${LS_COLORS:38:3} : so=
${LS_COLORS:39:3} : o=0
${LS_COLORS:40:3} : =01
${LS_COLORS:41:3} : 01;
${LS_COLORS:42:3} : 1;3
${LS_COLORS:43:3} : ;35
${LS_COLORS:44:3} : 35
${LS_COLORS:45:3} : 5
${LS_COLORS:47:3} : do=
${LS_COLORS:48:3} : o=0
${LS_COLORS:49:3} : =01
${LS_COLORS:50:3} : 01;
${LS_COLORS:51:3} : 1;3
${LS_COLORS:52:3} : ;35
${LS_COLORS:53:3} : 35
${LS_COLORS:54:3} : 5
${LS_COLORS:56:3} : bd=
${LS_COLORS:57:3} : d=4
${LS_COLORS:58:3} : =40
${LS_COLORS:59:3} : 40;
${LS_COLORS:60:3} : 0;3
${LS_COLORS:61:3} : ;33
${LS_COLORS:62:3} : 33;
${LS_COLORS:63:3} : 3;0
${LS_COLORS:64:3} : ;01
${LS_COLORS:65:3} : 01
${LS_COLORS:66:3} : 1
${LS_COLORS:68:3} : cd=
${LS_COLORS:69:3} : d=4
${LS_COLORS:70:3} : =40
${LS_COLORS:71:3} : 40;
${LS_COLORS:72:3} : 0;3
${LS_COLORS:73:3} : ;33
${LS_COLORS:74:3} : 33;
${LS_COLORS:75:3} : 3;0
${LS_COLORS:76:3} : ;01
${LS_COLORS:77:3} : 01
${LS_COLORS:78:3} : 1
${LS_COLORS:80:3} : or=
${LS_COLORS:81:3} : r=4
${LS_COLORS:82:3} : =40
${LS_COLORS:83:3} : 40;
${LS_COLORS:84:3} : 0;3
${LS_COLORS:85:3} : ;31
${LS_COLORS:86:3} : 31;
${LS_COLORS:87:3} : 1;0
${LS_COLORS:88:3} : ;01
${LS_COLORS:89:3} : 01
${LS_COLORS:90:3} : 1
${LS_COLORS:92:3} : mi=
${LS_COLORS:93:3} : i=0
${LS_COLORS:94:3} : =00
${LS_COLORS:95:3} : 00
${LS_COLORS:96:3} : 0
${LS_COLORS:98:3} : su=
${LS_COLORS:99:3} : u=3
${LS_COLORS:100:3} : =37
${LS_COLORS:101:3} : 37;
${LS_COLORS:102:3} : 7;4
${LS_COLORS:103:3} : ;41
${LS_COLORS:104:3} : 41
